Item,Price
Double Cheese Margherita Pizza,207
Margherita Pizza,162
"Capsicum, Paneer & Red Paprika Pizza",145
Sweet Corns Pizza,119
Tandoori Special Pizza,299
Farm Villa Pizza,286
